SAMN35560961	SRR24799266	1
SAMN35561036	SRR24799298	1
SAMN32115348	SRR22577871	1
SAMN35561013	SRR24799209	1
SAMN35561003	SRR24799220	1
SAMN35560989	SRR24799235	1
SAMN35561018	SRR24799203	1
SAMN35560986	SRR24799238	1
SAMN35560971	SRR24799255	1
SAMN35560962	SRR24799265	1
SAMN35560970	SRR24799256	1
SAMN35560966	SRR24799260	1
SAMN35560965	SRR24799262	1
SAMN35560977	SRR24799248	1
SAMN35561021	SRR24799200	1
SAMN35561051	SRR24799282	1
SAMN35561043	SRR24799291	1
SAMN35560968	SRR24799258	1
SAMN35561005	SRR24799218	1
SAMN35560993	SRR24799231	1
SAMN35560975	SRR24799251	1
SAMN31064022	SRR21738910	1
SAMN35560972	SRR24799254	1
SAMN35561000	SRR24799223	1
SAMN35560964	SRR24799263	1
SAMN35561014	SRR24799208	1
SAMN35560980	SRR24799245	1
SAMN35560988	SRR24799236	1
SAMN35560978	SRR24799247	1
SAMN35561028	SRR24799192	1
SAMN35561052	SRR24799281	1
SAMN35561015	SRR24799207	1
SAMN35560973	SRR24799253	1
SAMN35561047	SRR24799286	1
SAMN35561034	SRR24799186	1
SAMN35561016	SRR24799205	1
SAMN35561019	SRR24799202	1
SAMN35560997	SRR24799226	1
SAMN35560982	SRR24799243	1
SAMN35561025	SRR24799196	1
SAMN35561004	SRR24799219	1
SAMN35560985	SRR24799240	1
